Circles: 200
# ID : center_x center_y radius
0 : 7.02795 8.754813 0.03715
1 : 9.740715 2.195967 0.080982
2 : 5.638295 2.824147 0.063573
3 : 1.308206 7.016427 0.06071
4 : 6.168662 6.693243 0.046616
5 : 6.519802 8.316075 0.08617
6 : 4.002355 7.577965 0.042862
7 : 9.625551 6.634437 0.059881
8 : 5.043179 0.718286 0.037847
9 : 5.282909 9.844158 0.026183
10 : 9.632381 1.417221 0.093857
11 : 3.595344 6.937096 0.034221
12 : 5.743066 3.712699 0.094631
13 : 9.407805 6.979952 0.036487
14 : 7.214711 7.657636 0.035057
15 : 2.636491 1.500183 0.048637
16 : 2.238488 2.260428 0.028089
17 : 3.313866 6.140749 0.0805
18 : 3.138008 0.503084 0.062722
19 : 4.04072 2.388537 0.053108
20 : 6.762486 7.092043 0.067714
21 : 0.735566 2.655443 0.020262
22 : 9.71862 0.847346 0.03081
23 : 9.624709 2.491092 0.082293
24 : 0.441228 5.718881 0.077964
25 : 5.378928 3.636413 0.077507
26 : 5.925537 0.49725 0.078302
27 : 5.492725 6.221523 0.06107
28 : 3.083912 1.305315 0.087447
29 : 7.707576 1.220847 0.090238
30 : 1.61083 3.21822 0.089054
31 : 3.629408 9.465669 0.096068
32 : 8.805804 9.146899 0.035467
33 : 3.743021 8.955138 0.091977
34 : 3.835038 5.481783 0.038587
35 : 8.841312 5.926964 0.055944
36 : 3.461591 8.966628 0.0369
37 : 4.811337 4.138786 0.024553
38 : 4.44144 7.280834 0.091894
39 : 9.984376 7.401754 0.030232
40 : 7.068337 7.537071 0.064443
41 : 0.231542 1.521709 0.06293
42 : 0.902 9.915568 0.027672
43 : 7.27384 1.432238 0.033038
44 : 1.224735 4.116023 0.084036
45 : 2.681076 0.836065 0.033889
46 : 8.924158 8.314441 0.0265
47 : 4.988033 3.861097 0.047651
48 : 1.100763 0.518797 0.095357
49 : 4.972694 6.071372 0.03242
50 : 2.079056 2.696922 0.077326
51 : 3.728316 1.805284 0.031206
52 : 2.692802 7.927756 0.034408
53 : 0.421155 8.346173 0.053082
54 : 0.746108 9.842565 0.051898
55 : 2.867838 9.758062 0.049937
56 : 3.052973 1.31148 0.036392
57 : 8.038232 8.556687 0.037915
58 : 7.382617 9.640713 0.031788
59 : 4.512152 5.746312 0.086139
60 : 0.58098 4.534858 0.078792
61 : 5.349002 0.687706 0.086166
62 : 6.643454 6.541908 0.098731
63 : 4.666007 1.584116 0.053848
64 : 0.401892 4.590956 0.021595
65 : 1.593642 4.345757 0.093126
66 : 7.846391 4.298855 0.026884
67 : 2.394556 5.30573 0.047232
68 : 1.509131 3.962027 0.098333
69 : 7.629554 9.911973 0.024304
70 : 1.872573 2.335935 0.020434
71 : 2.25381 9.784917 0.060795
72 : 4.871203 0.309653 0.054678
73 : 3.855562 0.42713 0.090134
74 : 2.071781 0.415459 0.040942
75 : 7.048797 9.135574 0.032648
